trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-68.70458118057891,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-79.57276746361916,"{0: 17, 1: 5, 2: 1, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-119.43460265365083,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-74.87116720181098,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-106.81832533738306,"{0: 13, 1: 7, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,9,-9.196657225909423,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-17.14971274452784,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,0,-102.04796390059389,"{0: 26, 1: 2, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-6.589688254490042,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-48.70073640185749,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,10,-36.62929385708386,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-47.476631451179585,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-26.443715454398443,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-68.57860759337241,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,2,-58.34099399373172,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,15,0.2769884971588794,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,12,-23.823069002518505,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-92.13273347903167,"{0: 19, 1: 3, 2: 0, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-9.801519861575649,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,3.0976747476815505,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-60.80404466605505,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,13,12.25805818231292,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,9,25.37851847317728,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,8,23.88174369000003,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,20.015190656145034,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-21.421095531772366,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-32.092249805478986,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-101.10531479062988,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",35,0,-141.7731510511297,"{0: 28, 1: 0, 2: 3, 3: 1, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",30,2,4.005121785788317,"{0: 26, 1: 0, 2: 1, 3: 1, 4: 0}",1
