trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1.0, 'e': 0.9999962733607158}",25,0,-191.47297040968272,"{0: 12, 1: 5, 2: 4, 3: 1, 4: 3}",0
2,False,"{'a': 1.0, 'e': 0.9999959495019828}",25,0,-203.01329289865475,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 4}",0
3,False,"{'a': 1.0, 'e': 0.9999955974988521}",25,9,-85.27549067153035,"{0: 9, 1: 1, 2: 5, 3: 0, 4: 1}",1
4,False,"{'a': 1.0, 'e': 0.9999952149055051}",25,3,-228.38731614706424,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 4}",1
5,False,"{'a': 1.0, 'e': 0.9999947990635789}",20,0,-124.58160295553023,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
6,False,"{'a': 1.0, 'e': 0.9999943470836977}",20,0,-104.02184725269964,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
7,False,"{'a': 1.0, 'e': 0.9999938558253978}",25,0,-92.84805572340494,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 1.0, 'e': 0.9999933218753096}",20,0,-50.22810558864852,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 1.0, 'e': 0.9999927415234433}",20,0,-80.69866277734168,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 1.0, 'e': 0.9999921107374138}",20,0,-69.05074822122093,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 1.0, 'e': 0.9999914251344262}",30,0,-64.10709808625865,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 1.0, 'e': 0.9999906799508289}",20,0,-30.70022011916412,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 1.0, 'e': 0.9999898700090192}",25,0,-28.4023716007944,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 1.0, 'e': 0.9999889896814741}",20,0,-109.47377132378358,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 1.0, 'e': 0.9999880328516584}",25,0,-47.770156163371645,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 1.0, 'e': 0.9999869928715335}",30,0,-187.70735224200726,"{0: 16, 1: 7, 2: 3, 3: 1, 4: 3}",0
17,False,"{'a': 1.0, 'e': 0.9999858625153778}",35,17,-62.35471654190558,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 0}",1
18,False,"{'a': 1.0, 'e': 0.999984633929593}",30,0,-252.254588201858,"{0: 15, 1: 4, 2: 5, 3: 2, 4: 4}",0
19,False,"{'a': 1.0, 'e': 0.999983298578152}",20,0,-105.41652286399318,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
