trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1}",25,19,-1.6247091405743772,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1}",20,0,-167.8141988180852,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1}",25,0,-110.88810570264693,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1}",20,13,-25.606393687490165,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1}",20,7,-56.98192766190232,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1}",30,0,-203.52432995716094,"{0: 17, 1: 5, 2: 4, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1}",30,0,-158.586273101942,"{0: 14, 1: 5, 2: 9, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1}",20,0,-163.72519384517048,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1}",20,0,-159.7240669635052,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1}",25,0,-146.23657175988808,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1}",20,0,-105.17071109788247,"{0: 9, 1: 7, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1}",20,0,-123.71836460330364,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1}",35,0,-318.50494107672745,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 6}",0
14,False,"{'a': 0.5, 'e': 1}",25,4,-140.32091872410942,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 2}",1
15,False,"{'a': 0.5, 'e': 1}",25,0,-174.98193943035542,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1}",30,0,-74.43673533375592,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1}",25,0,-111.1516329163739,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1}",20,0,-67.50908345272528,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1}",30,0,-162.0036211462833,"{0: 14, 1: 8, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1}",25,0,-92.09323106810176,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",1
21,False,"{'a': 0.5, 'e': 1}",25,0,-146.46315685498146,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
22,False,"{'a': 0.5, 'e': 1}",20,0,-50.41595544385036,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 1}",20,0,-142.86866833982003,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 1}",30,5,-69.56132452189475,"{0: 15, 1: 8, 2: 1, 3: 0, 4: 1}",1
25,False,"{'a': 0.5, 'e': 1}",25,0,-238.05968662316116,"{0: 12, 1: 3, 2: 4, 3: 2, 4: 4}",0
26,False,"{'a': 0.5, 'e': 1}",20,0,-54.77382059052519,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 1}",20,1,-60.17812579366382,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 1}",1
