trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1.0, 'e': 0.9999962733607158}",25,0,-194.68630982184408,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
2,False,"{'a': 1.0, 'e': 0.999995881428255}",20,0,-88.88042123901283,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 1.0, 'e': 0.9999954482762552}",30,0,-147.39895068691175,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 1.0, 'e': 0.9999949695696981}",35,0,-178.97120763886832,"{0: 20, 1: 5, 2: 6, 3: 2, 4: 2}",0
5,False,"{'a': 1.0, 'e': 0.9999944405176665}",35,0,-213.8946795708632,"{0: 19, 1: 4, 2: 9, 3: 0, 4: 3}",0
6,False,"{'a': 1.0, 'e': 0.9999938558253978}",25,0,-199.12438268229056,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 4}",0
7,False,"{'a': 1.0, 'e': 0.999993209641302}",20,0,-106.62444675708389,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",1
8,False,"{'a': 1.0, 'e': 0.9999924954984029}",25,0,-141.35033815414954,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
9,False,"{'a': 1.0, 'e': 0.9999917062496261}",20,0,-60.71782534920902,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 1.0, 'e': 0.9999908339962802}",20,0,-89.9584300971689,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 1.0, 'e': 0.9999898700090192}",25,0,-23.76818433430714,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 1.0, 'e': 0.999988804640495}",25,0,-84.90853876788874,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 1.0, 'e': 0.9999876272288255}",30,0,-142.78537762936594,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 1.0, 'e': 0.9999863259909154}",25,0,-120.53610320720162,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 1.0, 'e': 0.999984887904559}",20,15,3.2431217420540808,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 1.0, 'e': 0.999983298578152}",20,0,-72.86642852296656,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
17,False,"{'a': 1.0, 'e': 0.9999815421067044}",20,0,-98.24150673306141,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 1.0, 'e': 0.9999796009127201}",20,0,-100.57557156367768,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 1.0, 'e': 0.9999774555703496}",25,0,-164.19933905434667,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
20,False,"{'a': 1.0, 'e': 0.9999750846110607}",20,0,-130.19043606541416,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
21,False,"{'a': 1.0, 'e': 0.9999724643088853}",25,0,-107.03488547105944,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
22,False,"{'a': 1.0, 'e': 0.9999695684430994}",35,0,-223.25295882312355,"{0: 18, 1: 6, 2: 7, 3: 1, 4: 3}",0
23,False,"{'a': 1.0, 'e': 0.9999663680359613}",25,0,-149.69293170598078,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
