trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1.0, 'e': 0.9999962733607158}",20,0,-26.86484537199059,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 1.0, 'e': 0.999995881428255}",30,0,-111.74087620939858,"{0: 20, 1: 5, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 1.0, 'e': 0.9999954482762552}",20,0,-43.94586697312168,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 1.0, 'e': 0.9999949695696981}",25,0,-12.053947263978818,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 1.0, 'e': 0.9999944405176665}",20,0,-80.7220868351664,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 1.0, 'e': 0.9999938558253978}",25,0,-99.52309951122687,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 1.0, 'e': 0.999993209641302}",20,0,-81.29644611290237,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 1.0, 'e': 0.9999924954984029}",20,0,-99.88762725246009,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 1.0, 'e': 0.9999917062496261}",20,0,-16.38047706569346,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 1.0, 'e': 0.9999908339962802}",20,0,-185.5737371508909,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
11,False,"{'a': 1.0, 'e': 0.9999898700090192}",35,0,-127.73276080381606,"{0: 23, 1: 4, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 1.0, 'e': 0.999988804640495}",20,0,-44.19844894958903,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
13,False,"{'a': 1.0, 'e': 0.9999876272288255}",25,1,-26.504130757241118,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 0}",1
14,False,"{'a': 1.0, 'e': 0.9999863259909154}",20,0,-93.61315798505717,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
15,False,"{'a': 1.0, 'e': 0.999984887904559}",20,0,-122.56146031510461,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 1.0, 'e': 0.999983298578152}",25,0,-113.03701991222671,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
17,False,"{'a': 1.0, 'e': 0.9999815421067044}",20,0,-125.91758337400623,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 1.0, 'e': 0.9999796009127201}",20,0,-136.2921948326468,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 1.0, 'e': 0.9999774555703496}",25,3,-45.60355316365794,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 0}",1
20,False,"{'a': 1.0, 'e': 0.9999750846110607}",20,0,-34.71028260440415,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
21,False,"{'a': 1.0, 'e': 0.9999724643088853}",35,0,-134.7622918819695,"{0: 24, 1: 2, 2: 7, 3: 0, 4: 2}",0
22,False,"{'a': 1.0, 'e': 0.9999695684430994}",30,0,-206.09471916727065,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 4}",0
23,False,"{'a': 1.0, 'e': 0.9999663680359613}",25,0,-23.27060074759397,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
24,False,"{'a': 1.0, 'e': 0.9999628310628971}",35,0,-157.81780716911143,"{0: 23, 1: 1, 2: 8, 3: 1, 4: 2}",0
25,False,"{'a': 1.0, 'e': 0.9999589221322353}",20,0,-84.03622952685843,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
26,False,"{'a': 1.0, 'e': 0.9999546021312976}",20,0,-83.12560999523672,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
27,False,"{'a': 1.0, 'e': 0.9999498278353162}",20,0,-13.253004443099721,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
28,False,"{'a': 1.0, 'e': 0.9999445514752772}",20,0,-138.99023669351865,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
29,False,"{'a': 1.0, 'e': 0.9999387202603833}",25,0,-90.36696836412172,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
30,False,"{'a': 1.0, 'e': 0.9999322758503804}",20,0,-97.79316198142168,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
31,False,"{'a': 1.0, 'e': 0.9999251537724895}",25,0,-131.93227354512157,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
32,False,"{'a': 1.0, 'e': 0.9999172827771484}",20,0,-91.97125141085374,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
33,False,"{'a': 1.0, 'e': 0.9999085841261478}",30,0,-123.7656343549464,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
34,False,"{'a': 1.0, 'e': 0.9998989708060922}",20,0,-117.27137155567304,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
35,False,"{'a': 1.0, 'e': 0.9998883466593704}",25,0,-255.4292898401416,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 5}",0
36,False,"{'a': 1.0, 'e': 0.9998766054240137}",25,0,-164.09847219499142,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
37,False,"{'a': 1.0, 'e': 0.9998636296729204}",25,0,-95.81029650852584,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
38,False,"{'a': 1.0, 'e': 0.9998492896419403}",30,4,-154.34780053165753,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 3}",1
39,False,"{'a': 1.0, 'e': 0.9998334419352227}",25,0,-126.56510352864149,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
40,False,"{'a': 1.0, 'e': 0.9998159280950366}",20,0,-70.39705117490428,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
41,False,"{'a': 1.0, 'e': 0.9997965730219448}",25,0,-114.40482012796285,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
42,False,"{'a': 1.0, 'e': 0.9997751832297667}",20,0,-24.460162395643863,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
43,False,"{'a': 1.0, 'e': 0.9997515449181605}",25,0,-116.18673870885432,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
44,False,"{'a': 1.0, 'e': 0.9997254218438986}",20,0,-103.71948132085384,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
45,False,"{'a': 1.0, 'e': 0.9996965529699712}",20,0,-55.26034722944819,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
46,False,"{'a': 1.0, 'e': 0.9996646498695336}",25,0,-230.5694060032167,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 5}",0
47,False,"{'a': 1.0, 'e': 0.9996293938593735}",20,0,-178.74636044316821,"{0: 8, 1: 6, 2: 2, 3: 1, 4: 3}",0
48,False,"{'a': 1.0, 'e': 0.9995904328350139}",20,0,-2.3894485037988438,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
49,False,"{'a': 1.0, 'e': 0.9995473777767595}",20,0,-29.830283134885704,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
50,False,"{'a': 1.0, 'e': 0.9994997988929205}",30,0,-115.79733068348338,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
51,False,"{'a': 1.0, 'e': 0.9994472213630764}",30,0,-196.03472185519365,"{0: 20, 1: 1, 2: 5, 3: 0, 4: 4}",0
52,False,"{'a': 1.0, 'e': 0.9993891206405656}",30,0,-166.6332558508446,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
53,False,"{'a': 1.0, 'e': 0.9993249172693672}",35,1,-116.7019400320064,"{0: 20, 1: 6, 2: 7, 3: 0, 4: 1}",1
54,False,"{'a': 1.0, 'e': 0.9992539711661633}",25,0,-123.98030545104817,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
55,False,"{'a': 1.0, 'e': 0.9991755753136017}",25,0,-55.84782369512376,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
56,False,"{'a': 1.0, 'e': 0.9990889488055994}",20,0,-24.52070877397047,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
57,False,"{'a': 1.0, 'e': 0.9989932291799144}",25,0,-78.01974911600149,"{0: 12, 1: 8, 2: 5, 3: 0, 4: 0}",0
58,False,"{'a': 1.0, 'e': 0.9988874639671398}",20,0,-28.29878455759544,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
59,False,"{'a': 1.0, 'e': 0.9987706013787226}",20,2,-87.16541252337294,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
60,False,"{'a': 1.0, 'e': 0.9986414800495711}",30,0,-160.13624733031781,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
61,False,"{'a': 1.0, 'e': 0.998498817743263}",20,0,-38.54860122915124,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
62,False,"{'a': 1.0, 'e': 0.9983411989198255}",25,0,-152.14626307233837,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
63,False,"{'a': 1.0, 'e': 0.9981670610575072}",20,0,-70.92933264560509,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",1
64,False,"{'a': 1.0, 'e': 0.9979746796109501}",25,0,-187.47098094920477,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 2}",0
65,False,"{'a': 1.0, 'e': 0.9977621514787236}",30,0,-108.26175926970062,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
66,False,"{'a': 1.0, 'e': 0.9975273768433653}",20,0,-88.00511204203389,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
67,False,"{'a': 1.0, 'e': 0.997268039236989}",20,0,-85.32227306818133,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
68,False,"{'a': 1.0, 'e': 0.9969815836752917}",20,0,-188.922523265264,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
69,False,"{'a': 1.0, 'e': 0.9966651926925867}",30,0,-143.9333980290808,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
70,False,"{'a': 1.0, 'e': 0.9963157601005641}",30,0,-80.61978417503248,"{0: 18, 1: 6, 2: 6, 3: 0, 4: 0}",0
71,False,"{'a': 1.0, 'e': 0.995929862284104}",20,0,-63.5478051113437,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
72,False,"{'a': 1.0, 'e': 0.9955037268390589}",25,0,-78.09783056938019,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
73,False,"{'a': 1.0, 'e': 0.995033198349943}",20,0,-166.5260772253841,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
