trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.49307401106724,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.84725618880822,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.10035344011612,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.82726979911671,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-115.29880196534015,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-192.29322129319354,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-202.17554057235915,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-184.40853018326584,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-269.50538485431116,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 5}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.8076794241411,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.55561499048409,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-251.73888365427575,"{0: 15, 1: 2, 2: 8, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,4,-81.67795629637342,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-236.58416781026784,"{0: 6, 1: 3, 2: 7, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-70.56653933363742,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.37261598881697,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.54112532793267,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-139.6948094169675,"{0: 19, 1: 2, 2: 5, 3: 3, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,6,-20.451576223033843,"{0: 16, 1: 7, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",35,0,-179.2935413578778,"{0: 19, 1: 4, 2: 10, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-138.27237286595513,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-184.6864081796022,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-177.21643360934075,"{0: 11, 1: 3, 2: 9, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-165.93602021861474,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-151.68638500990238,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-80.41590061819055,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-159.34341121848044,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,20,-68.79618434114288,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 2}",1
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-78.84880837602537,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-31.78607428801387,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
